Generation,Score,Fitness,Best Score,Best Fitness
0,1,11.926,3,107.0
1,1,12.18,2,62.0
2,1,12.914,3,109.0
3,1,12.128,3,108.0
4,1,12.366,3,106.0
5,1,12.91,3,106.0
6,1,12.13,3,110.0
7,1,13.36,3,106.0
8,1,12.556,4,156.0
9,1,12.064,3,106.0
10,1,14.684,3,106.0
11,1,13.706,3,105.0
12,1,14.314,4,155.0
13,1,12.392,3,110.0
14,1,13.35,3,105.0
15,1,14.73,3,106.0
16,1,15.206,4,155.0
17,1,12.752,3,108.0
18,1,12.408,3,106.0
19,1,12.764,3,105.0
20,1,13.228,3,112.0
21,1,13.89,3,106.0
22,1,12.392,3,106.0
23,1,13.15,3,108.0
24,1,13.412,3,104.0
25,1,14.598,4,160.0
26,1,12.12,3,112.0
27,1,15.112,3,106.0
28,1,14.512,3,106.0
29,1,13.51,3,107.0
30,1,14.44,3,106.0
31,1,12.2,3,105.0
32,1,13.33,4,154.0
33,1,13.744,3,108.0
34,1,14.2,3,106.0
35,1,14.412,3,108.0
36,1,12.77,3,106.0
37,1,13.638,4,158.0
38,1,13.258,3,105.0
39,1,15.616,3,113.0
40,1,16.284,3,109.0
41,1,14.838,3,105.0
42,1,13.998,3,106.0
43,1,14.514,3,109.0
44,1,14.456,3,105.0
45,1,13.484,3,108.0
46,1,15.228,3,110.0
47,1,15.202,3,172.0
48,1,16.242,3,108.0
49,1,16.864,3,108.0
50,1,14.644,3,104.0
51,1,14.916,3,106.0
52,1,15.382,3,108.0
53,1,15.074,4,161.0
54,1,15.496,3,105.0
55,1,15.884,3,108.0
56,1,16.334,3,109.0
57,1,17.76,3,106.0
58,1,13.914,4,154.0
59,1,16.776,4,160.0
60,1,18.138,3,112.0
61,1,17.22,3,108.0
62,1,16.678,4,155.0
63,1,18.526,3,109.0
64,1,18.524,3,107.0
65,1,20.652,3,106.0
66,1,19.956,4,155.0
67,1,20.4,3,109.0
68,1,17.624,3,109.0
69,1,19.452,3,106.0
70,1,18.842,3,110.0
71,1,20.774,4,156.0
72,1,19.97,3,106.0
73,1,21.344,4,155.0
74,1,21.172,4,156.0
75,1,18.786,4,156.0
76,1,20.418,3,107.0
77,1,20.212,3,113.0
78,1,20.818,5,208.0
79,1,21.998,4,155.0
80,1,21.73,4,156.0
81,1,24.224,4,158.0
82,1,23.744,4,154.0
83,1,21.246,3,108.0
84,1,23.312,4,154.0
85,1,22.136,3,106.0
86,1,24.834,4,155.0
87,1,23.88,3,110.0
88,1,24.178,3,110.0
89,1,21.71,3,106.0
90,1,23.624,4,156.0
91,1,25.848,4,156.0
92,1,21.542,4,158.0
93,1,23.848,3,109.0
94,1,22.402,5,206.0
95,1,23.156,3,106.0
96,1,24.642,4,160.0
97,1,25.082,3,109.0
98,1,24.864,3,109.0
99,1,27.77,3,110.0
100,1,26.936,4,153.0
101,1,24.984,4,158.0
102,1,21.654,3,108.0
103,1,26.152,3,108.0
104,1,25.926,4,156.0
105,1,24.058,3,108.0
106,1,25.236,4,160.0
107,1,26.37,3,107.0
108,1,26.816,5,206.0
109,1,26.882,4,156.0
110,1,26.256,3,108.0
111,1,24.614,3,110.0
112,1,26.852,4,156.0
113,1,26.084,3,109.0
114,1,27.886,4,155.0
115,1,25.632,3,110.0
116,1,26.324,4,156.0
117,1,26.638,4,156.0
118,1,25.79,3,108.0
119,1,27.212,4,155.0
120,1,25.606,4,156.0
121,1,24.892,3,108.0
122,1,27.186,4,159.0
123,1,28.082,4,156.0
124,1,24.922,3,110.0
125,1,30.36,4,159.0
126,1,27.134,4,158.0
127,1,28.766,4,160.0
128,1,28.512,4,160.0
129,1,29.606,4,156.0
130,1,29.706,4,156.0
131,1,30.434,4,160.0
132,1,30.096,5,206.0
133,1,28.518,4,164.0
134,1,27.05,4,156.0
135,1,30.986,4,159.0
136,1,32.816,4,157.0
137,1,30.822,4,157.0
138,1,30.64,4,157.0
139,1,31.004,4,164.0
140,1,31.672,4,160.0
141,1,29.71,4,159.0
142,1,29.718,4,160.0
143,1,32.142,4,160.0
144,1,31.28,5,214.0
145,1,33.418,4,156.0
146,1,32.302,4,160.0
147,1,33.042,4,160.0
148,1,33.982,4,159.0
149,1,30.916,5,214.0
150,1,35.096,4,160.0
151,1,32.998,4,164.0
152,1,34.91,4,160.0
153,1,32.234,4,155.0
154,1,35.948,5,216.0
155,1,34.07,4,160.0
156,1,34.234,4,160.0
157,1,37.748,4,160.0
158,1,35.306,4,160.0
159,1,35.182,4,160.0
160,1,34.688,4,155.0
161,1,34.878,5,216.0
162,1,37.792,5,208.0
163,1,39.11,4,241.0
164,1,38.89,4,172.0
165,1,35.092,4,161.0
166,1,37.032,5,206.0
167,1,37.754,5,214.0
168,1,38.108,4,162.0
169,1,36.8,4,164.0
170,1,39.788,5,214.0
171,1,39.796,5,210.0
172,1,38.412,4,178.0
173,1,36.018,3,172.0
174,1,39.73,5,209.0
175,1,38.738,5,210.0
176,1,38.766,5,206.0
177,1,40.51,5,214.0
178,1,40.822,5,212.0
179,1,37.896,4,163.0
180,1,39.1,4,162.0
181,1,41.794,5,207.0
182,1,39.802,4,160.0
183,1,43.438,5,212.0
184,1,45.136,5,208.0
185,1,40.68,5,210.0
186,1,41.564,4,161.0
187,1,45.834,4,163.0
188,1,41.77,4,165.0
189,1,42.566,5,209.0
190,1,41.65,5,210.0
191,1,45.048,4,164.0
192,1,42.086,5,210.0
193,1,44.21,3,172.0
194,1,43.654,4,161.0
195,1,42.212,4,160.0
196,1,44.944,5,211.0
197,1,42.254,5,215.0
198,1,47.054,4,163.0
199,1,43.678,5,214.0
200,1,42.896,5,206.0
201,1,45.934,5,213.0
202,1,43.936,4,169.0
203,1,41.826,5,210.0
204,1,46.71,5,210.0
205,1,44.462,6,260.0
206,1,45.242,5,215.0
207,1,47.71,5,215.0
208,1,45.258,4,164.0
209,1,43.688,4,169.0
210,1,45.39,6,265.0
211,1,45.506,4,164.0
212,1,44.782,4,160.0
213,1,44.622,5,210.0
214,1,44.374,4,166.0
215,1,48.308,5,214.0
216,1,45.262,4,165.0
217,1,45.7,4,160.0
218,1,49.118,6,262.0
219,1,45.862,5,210.0
220,1,45.842,6,260.0
221,1,44.822,4,166.0
222,1,45.478,6,266.0
223,1,44.992,4,162.0
224,1,44.468,7,310.0
225,1,44.97,4,162.0
226,1,48.578,4,166.0
227,1,47.686,5,215.0
228,1,45.372,5,212.0
229,1,44.478,5,210.0
230,1,46.09,4,165.0
231,1,47.97,3,172.0
232,1,40.924,5,210.0
233,1,46.394,5,214.0
234,1,46.48,5,210.0
235,1,47.12,5,210.0
236,1,44.224,4,161.0
237,1,42.534,4,160.0
238,1,45.368,5,218.0
239,1,48.298,5,209.0
240,1,43.278,4,169.0
241,1,45.404,5,212.0
242,1,43.34,4,169.0
243,1,47.256,6,266.0
