Generation,Score,Fitness,Best Score,Best Fitness
0,1,11.8,2,55.0
1,1,11.75,2,55.0
2,1,12.69,2,55.0
3,1,12.49,2,55.0
4,1,12.32,2,59.0
5,1,14.67,3,107.0
6,1,14.26,3,105.0
7,1,16.0,2,56.0
8,1,11.29,3,103.0
9,1,15.05,3,105.0
10,1,12.88,2,58.0
11,1,12.58,2,56.0
12,1,13.09,2,56.0
13,1,14.99,2,56.0
14,1,11.46,2,56.0
15,1,13.82,2,56.0
16,1,13.92,3,105.0
17,1,12.9,3,105.0
18,1,11.84,2,55.0
19,1,14.77,3,103.0
20,1,11.7,2,56.0
21,1,12.37,3,103.0
22,1,15.65,2,56.0
23,1,11.94,2,55.0
24,1,13.17,2,60.0
25,1,11.54,2,57.0
26,1,13.37,2,60.0
27,1,11.2,2,57.0
28,1,12.71,2,59.0
29,1,14.0,2,65.0
30,1,12.87,2,57.0
31,1,12.5,2,58.0
32,1,14.74,2,59.0
33,1,12.44,2,56.0
34,1,12.54,2,56.0
35,1,10.52,2,56.0
36,1,13.09,2,58.0
37,1,14.67,2,56.0
38,1,14.65,2,58.0
39,1,16.35,3,109.0
40,1,12.93,3,104.0
41,1,14.41,3,106.0
42,1,17.14,3,108.0
43,1,15.52,2,61.0
44,1,14.83,3,108.0
45,1,13.71,2,56.0
46,1,16.78,3,103.0
47,1,15.1,3,106.0
48,1,14.49,3,106.0
49,1,15.33,2,56.0
50,1,16.64,3,106.0
51,1,16.43,3,107.0
52,1,17.47,3,103.0
53,1,17.84,3,104.0
54,1,15.62,2,59.0
55,1,16.36,3,106.0
56,1,19.98,2,56.0
57,1,20.22,3,110.0
58,1,16.52,2,58.0
59,1,15.3,3,106.0
60,1,15.28,2,59.0
61,1,16.78,3,106.0
62,1,14.65,3,106.0
63,1,17.29,3,109.0
64,1,14.18,3,106.0
65,1,15.53,3,110.0
66,1,17.43,2,58.0
67,1,18.22,3,108.0
68,1,20.11,3,106.0
69,1,18.52,3,107.0
70,1,18.24,3,108.0
71,1,17.94,3,103.0
72,1,15.39,2,59.0
73,1,19.07,3,106.0
74,1,16.55,2,58.0
75,1,16.87,2,60.0
76,1,17.17,2,56.0
77,1,17.12,2,58.0
78,1,19.57,2,96.0
79,1,19.45,3,106.0
80,1,20.06,3,108.0
81,1,18.6,3,110.0
82,1,20.5,3,106.0
83,1,18.99,2,96.0
84,1,20.43,3,110.0
85,1,16.12,2,96.0
86,1,18.6,2,96.0
87,1,16.47,2,58.0
88,1,19.83,3,106.0
89,1,18.9,2,62.0
90,1,21.47,3,112.0
91,1,20.38,4,162.0
92,1,20.84,3,106.0
93,1,17.52,3,103.0
94,1,18.89,2,56.0
95,1,17.73,3,106.0
96,1,17.66,3,106.0
97,1,22.45,3,106.0
98,1,19.17,3,105.0
99,1,22.64,3,107.0
100,1,18.63,3,108.0
101,1,18.91,3,108.0
102,1,19.54,3,107.0
103,1,15.86,2,57.0
104,1,13.94,2,58.0
105,1,20.93,4,156.0
106,1,24.72,6,258.0
107,1,16.15,2,58.0
108,1,22.32,3,108.0
109,1,20.64,3,111.0
110,1,18.06,3,106.0
111,1,16.54,3,106.0
112,1,19.54,4,164.0
113,1,19.16,3,107.0
114,1,19.23,3,104.0
115,1,20.57,3,105.0
116,1,16.85,3,109.0
117,1,19.4,2,57.0
118,1,20.27,4,157.0
119,1,16.18,2,58.0
120,1,16.89,3,107.0
121,1,20.53,3,115.0
122,1,21.52,3,105.0
123,1,17.73,3,106.0
124,1,18.71,3,111.0
125,1,18.79,3,106.0
126,1,18.84,3,111.0
127,1,17.88,3,104.0
128,1,17.86,3,109.0
129,1,18.42,3,104.0
130,1,16.63,2,62.0
131,1,21.53,3,106.0
132,1,17.32,3,106.0
133,1,17.4,3,106.0
134,1,19.63,3,106.0
135,1,16.57,3,105.0
136,1,18.59,3,104.0
137,1,21.59,3,108.0
138,1,19.84,3,112.0
139,1,26.46,3,105.0
140,1,20.63,4,158.0
141,1,18.43,3,108.0
142,1,20.6,3,107.0
143,1,20.02,3,106.0
144,1,20.93,3,109.0
145,1,22.18,3,107.0
146,1,17.55,3,102.0
147,1,19.18,3,106.0
148,1,20.19,3,106.0
149,1,18.46,3,106.0
150,1,20.49,2,58.0
151,1,22.1,2,60.0
152,1,18.3,2,61.0
153,1,22.53,3,110.0
154,1,18.89,2,59.0
155,1,22.63,3,108.0
156,1,24.7,3,119.0
157,1,17.14,3,106.0
158,1,19.16,3,104.0
159,1,24.32,3,108.0
160,1,15.84,2,62.0
161,1,21.39,3,106.0
162,1,18.2,3,106.0
163,1,24.24,3,110.0
164,1,22.13,3,106.0
165,1,21.98,3,111.0
166,1,20.72,3,106.0
167,1,18.72,3,118.0
168,1,23.18,3,117.0
169,1,24.27,3,109.0
170,1,25.49,4,158.0
171,1,18.87,3,105.0
172,1,23.21,3,106.0
173,1,20.42,2,64.0
174,1,25.02,4,164.0
175,1,20.98,3,106.0
176,1,22.33,3,103.0
177,1,20.8,2,61.0
178,1,27.89,4,156.0
179,1,22.46,3,108.0
180,1,22.23,3,106.0
181,1,26.65,3,172.0
182,1,25.08,3,106.0
183,1,22.88,3,109.0
184,1,23.76,3,114.0
185,1,25.15,3,106.0
186,1,27.04,4,160.0
187,1,24.53,3,118.0
188,1,24.55,3,106.0
189,1,24.85,3,104.0
190,1,23.86,3,110.0
191,1,24.13,2,96.0
192,1,28.16,3,112.0
193,1,26.67,3,172.0
194,1,20.52,3,106.0
195,1,28.19,4,183.0
196,1,27.54,3,111.0
197,1,22.5,3,108.0
198,1,28.98,3,107.0
199,1,21.19,3,105.0
200,1,28.99,5,211.0
201,1,25.81,3,115.0
202,1,27.99,3,108.0
203,1,26.11,3,104.0
204,1,27.29,3,107.0
205,1,23.29,3,172.0
206,1,26.77,4,166.0
207,1,25.23,2,96.0
208,1,26.84,3,108.0
209,1,26.93,3,113.0
210,1,30.92,3,172.0
211,1,27.33,3,129.0
212,1,28.94,4,156.0
213,1,28.79,3,119.0
214,1,28.07,3,118.0
215,1,35.27,4,171.0
216,1,32.2,3,120.0
217,1,30.63,6,280.0
218,1,30.62,4,167.0
219,1,33.61,4,178.0
220,1,27.36,3,124.0
221,1,27.92,3,121.0
222,1,24.84,3,124.0
223,1,29.29,3,105.0
224,1,28.56,3,123.0
225,1,25.62,3,120.0
226,1,31.72,4,158.0
227,1,33.25,3,172.0
228,1,35.86,5,227.0
229,1,32.73,4,156.0
230,1,28.09,3,122.0
231,1,30.33,5,219.0
232,1,36.16,4,195.0
233,1,29.25,3,172.0
234,1,31.58,3,126.0
235,1,39.71,4,188.0
236,1,30.82,4,176.0
237,1,31.73,4,171.0
238,1,32.27,4,158.0
239,1,35.57,4,164.0
240,1,30.07,5,245.0
241,1,34.84,4,168.0
242,1,39.41,4,194.0
243,1,34.98,5,219.0
244,1,34.06,4,158.0
245,1,29.06,3,123.0
246,1,32.74,4,161.0
247,1,34.26,4,169.0
248,1,37.22,5,233.0
249,1,32.16,4,181.0
250,1,37.77,4,185.0
